Timestamp,Vehicle_ID,Class,Direction
2026-03-17 10:47:38,5,car,Inbound
2026-03-17 10:47:38,2,car,Inbound
2026-03-17 10:47:39,3,car,Inbound
2026-03-17 10:47:40,6,car,Inbound
2026-03-17 10:47:41,22,car,Inbound
2026-03-17 10:47:42,45,car,Inbound
2026-03-17 10:47:42,55,car,Inbound
2026-03-17 10:47:43,80,car,Inbound
2026-03-17 10:47:43,72,car,Inbound
2026-03-17 10:47:44,97,car,Inbound
2026-03-17 10:47:45,141,car,Inbound
2026-03-17 10:47:46,123,car,Inbound
2026-03-17 10:47:46,168,car,Inbound
2026-03-17 10:47:46,259,truck,Inbound
2026-03-17 10:47:47,157,car,Inbound
2026-03-17 10:47:48,260,car,Inbound
2026-03-17 10:47:49,255,car,Inbound
2026-03-17 10:47:49,235,car,Inbound
2026-03-17 10:47:50,298,truck,Inbound
2026-03-17 10:47:50,278,car,Inbound
2026-03-17 10:47:50,300,car,Inbound
2026-03-17 10:47:51,368,truck,Inbound
2026-03-17 10:47:51,347,car,Inbound
2026-03-17 10:47:52,340,car,Inbound
2026-03-17 10:47:52,374,truck,Inbound
2026-03-17 10:47:54,397,car,Inbound
2026-03-17 10:47:54,380,car,Inbound
2026-03-17 10:47:55,427,car,Inbound
2026-03-17 10:47:56,429,car,Inbound
2026-03-17 10:47:56,450,car,Inbound
2026-03-17 10:47:56,409,car,Inbound
2026-03-17 10:47:57,571,truck,Inbound
2026-03-17 10:47:57,578,truck,Inbound
2026-03-17 10:47:58,671,truck,Inbound
2026-03-17 10:47:59,556,car,Inbound
2026-03-17 10:48:00,614,car,Inbound
2026-03-17 10:48:01,575,car,Inbound
2026-03-17 10:48:01,655,car,Inbound
2026-03-17 10:48:01,627,truck,Inbound
2026-03-17 10:48:04,715,car,Inbound
2026-03-17 10:48:05,709,car,Inbound
2026-03-17 10:48:06,737,car,Inbound
2026-03-17 10:48:06,848,car,Inbound
2026-03-17 10:48:06,849,car,Inbound
2026-03-17 10:48:08,760,car,Inbound
2026-03-17 10:48:09,786,truck,Inbound
2026-03-17 10:48:09,787,car,Inbound
2026-03-17 10:48:09,910,car,Inbound
2026-03-17 10:48:10,902,car,Inbound
2026-03-17 10:48:11,888,car,Inbound
2026-03-17 10:48:11,950,car,Inbound
2026-03-17 10:48:11,867,car,Inbound
2026-03-17 10:48:12,872,car,Inbound
2026-03-17 10:48:14,933,truck,Inbound
2026-03-17 10:48:14,951,car,Inbound
2026-03-17 10:48:16,1090,car,Inbound
2026-03-17 10:48:17,994,car,Inbound
2026-03-17 10:48:17,1007,car,Inbound
2026-03-17 10:48:20,1173,car,Inbound
2026-03-17 10:48:21,1201,truck,Inbound
2026-03-17 10:48:22,1256,car,Inbound
2026-03-17 10:48:26,1329,car,Inbound
2026-03-17 10:48:28,1343,car,Inbound
2026-03-17 10:48:29,1351,car,Inbound
2026-03-17 10:48:32,1421,car,Inbound
2026-03-17 10:48:34,1422,car,Inbound
2026-03-17 10:48:37,1524,car,Inbound
2026-03-17 10:48:44,1652,car,Inbound
2026-03-17 10:48:46,1679,car,Inbound
2026-03-17 10:48:46,1664,car,Inbound
2026-03-17 10:48:48,1712,car,Inbound
2026-03-17 10:48:50,1735,car,Inbound
2026-03-17 10:48:53,1856,car,Inbound
2026-03-17 10:48:53,1860,truck,Inbound
2026-03-17 10:48:56,1922,truck,Inbound
2026-03-17 10:49:03,2015,car,Inbound
2026-03-17 10:49:04,2019,car,Inbound
2026-03-17 10:49:04,2012,car,Inbound
2026-03-17 10:49:06,2058,car,Inbound
2026-03-17 10:49:06,2062,car,Inbound
2026-03-17 10:49:10,2116,car,Inbound
2026-03-17 10:49:12,2117,truck,Inbound
2026-03-17 10:49:15,2161,car,Inbound
2026-03-17 10:49:21,2196,car,Inbound
2026-03-17 10:49:31,2337,motorcycle,Inbound
2026-03-17 10:49:32,2336,car,Inbound
2026-03-17 10:49:34,2345,car,Inbound
2026-03-17 10:49:34,2416,truck,Inbound
2026-03-17 10:49:36,2339,car,Inbound
2026-03-17 10:49:36,2406,car,Inbound
2026-03-17 10:49:38,2395,truck,Inbound
2026-03-17 10:49:39,2502,car,Inbound
2026-03-17 10:49:40,2528,car,Inbound
2026-03-17 10:49:41,2588,motorcycle,Inbound
2026-03-17 10:49:42,2478,car,Inbound
2026-03-17 10:49:44,2571,car,Inbound
2026-03-17 10:49:45,2542,bus,Inbound
2026-03-17 10:49:47,2653,car,Inbound
2026-03-17 10:49:47,2680,truck,Inbound
2026-03-17 10:49:47,2637,truck,Inbound
2026-03-17 10:49:47,2687,car,Inbound
2026-03-17 10:49:49,2686,car,Inbound
2026-03-17 10:49:51,2718,car,Inbound
2026-03-17 10:49:52,2726,car,Inbound
2026-03-17 10:49:54,2743,car,Inbound
2026-03-17 10:49:57,2695,car,Inbound
2026-03-17 10:50:00,2736,car,Inbound
2026-03-17 10:50:03,2803,car,Inbound
2026-03-17 10:50:05,2771,car,Inbound
2026-03-17 10:50:05,2854,car,Inbound
2026-03-17 10:50:05,2880,truck,Inbound
2026-03-17 10:50:06,2791,car,Inbound
2026-03-17 10:50:07,2862,car,Inbound
2026-03-17 10:50:08,2842,car,Inbound
2026-03-17 10:50:09,2902,car,Inbound
2026-03-17 10:50:11,2881,truck,Inbound
2026-03-17 10:50:11,2944,car,Inbound
2026-03-17 10:50:13,2957,car,Inbound
2026-03-17 10:50:15,2993,motorcycle,Inbound
2026-03-17 10:50:16,2965,car,Inbound
2026-03-17 10:50:21,3008,car,Inbound
2026-03-17 10:50:26,3057,car,Inbound
2026-03-17 10:50:26,3053,truck,Inbound
2026-03-17 10:50:28,3085,car,Inbound
2026-03-17 10:50:30,3089,car,Inbound
2026-03-17 10:50:33,3106,truck,Inbound
2026-03-17 10:50:33,3132,car,Inbound
2026-03-17 10:50:42,3152,car,Inbound
2026-03-17 10:50:46,3168,car,Inbound
2026-03-17 10:50:54,3187,truck,Inbound
2026-03-17 10:50:58,3183,car,Inbound
2026-03-17 10:51:02,3208,car,Inbound
2026-03-17 10:51:03,3265,car,Inbound
2026-03-17 10:51:05,3358,truck,Inbound
2026-03-17 10:51:05,3338,truck,Inbound
2026-03-17 10:51:06,3392,car,Inbound
2026-03-17 10:51:07,3433,car,Inbound
2026-03-17 10:51:07,3484,car,Inbound
2026-03-17 10:51:07,3478,car,Inbound
2026-03-17 10:51:09,3500,car,Inbound
2026-03-17 10:51:09,3573,car,Inbound
2026-03-17 10:51:10,3521,car,Inbound
2026-03-17 10:51:11,3547,car,Inbound
2026-03-17 10:51:11,3534,car,Inbound
2026-03-17 10:51:13,3632,car,Inbound
2026-03-17 10:51:13,3665,car,Inbound
2026-03-17 10:51:13,3616,car,Inbound
2026-03-17 10:51:13,3783,truck,Inbound
2026-03-17 10:51:14,3735,car,Inbound
2026-03-17 10:51:15,3622,car,Inbound
2026-03-17 10:51:15,3761,car,Inbound
2026-03-17 10:51:16,3704,car,Inbound
2026-03-17 10:51:16,3791,car,Inbound
2026-03-17 10:51:18,3768,car,Inbound
2026-03-17 10:51:19,3894,car,Inbound
2026-03-17 10:51:19,3825,car,Inbound
2026-03-17 10:51:19,3841,car,Inbound
2026-03-17 10:51:21,3923,car,Inbound
2026-03-17 10:51:21,4011,truck,Inbound
2026-03-17 10:51:21,4015,bus,Inbound
2026-03-17 10:51:22,3937,truck,Inbound
2026-03-17 10:51:22,4058,car,Inbound
2026-03-17 10:51:23,3994,car,Inbound
2026-03-17 10:51:25,4010,car,Inbound
2026-03-17 10:51:25,4069,car,Inbound
2026-03-17 10:51:27,4136,car,Inbound
2026-03-17 10:51:29,4145,car,Inbound
2026-03-17 10:51:30,4257,truck,Inbound
2026-03-17 10:51:31,4213,car,Inbound
2026-03-17 10:51:32,4310,truck,Inbound
2026-03-17 10:51:32,4307,car,Inbound
2026-03-17 10:51:32,4333,car,Inbound
2026-03-17 10:51:33,4280,car,Inbound
2026-03-17 10:51:34,4279,car,Inbound
2026-03-17 10:51:35,4335,car,Inbound
2026-03-17 10:51:35,4337,car,Inbound
2026-03-17 10:51:35,4349,car,Inbound
2026-03-17 10:51:36,4371,car,Inbound
2026-03-17 10:51:37,4345,car,Inbound
2026-03-17 10:51:38,4499,bus,Inbound
2026-03-17 10:51:39,4520,truck,Inbound
2026-03-17 10:51:39,4580,car,Inbound
2026-03-17 10:51:40,4589,car,Inbound
2026-03-17 10:51:41,4607,car,Inbound
2026-03-17 10:51:41,4599,car,Inbound
2026-03-17 10:51:43,4600,car,Inbound
2026-03-17 10:51:44,4627,car,Inbound
2026-03-17 10:51:44,4640,truck,Inbound
2026-03-17 10:51:45,4645,car,Inbound
2026-03-17 10:51:45,4641,car,Inbound
2026-03-17 10:51:46,4703,car,Inbound
2026-03-17 10:51:48,4750,car,Inbound
2026-03-17 10:51:49,4787,car,Inbound
2026-03-17 10:51:50,4922,truck,Inbound
2026-03-17 10:51:51,4850,car,Inbound
2026-03-17 10:51:53,4954,car,Inbound
2026-03-17 10:51:54,4911,car,Inbound
2026-03-17 10:51:59,5066,truck,Inbound
2026-03-17 10:52:06,5196,car,Inbound
2026-03-17 10:52:07,5235,car,Inbound
2026-03-17 10:52:13,5314,car,Inbound
2026-03-17 10:52:15,5339,car,Inbound
2026-03-17 10:52:16,5350,car,Inbound
2026-03-17 10:52:18,5398,car,Inbound
2026-03-17 10:52:20,5470,car,Inbound
2026-03-17 10:52:21,5504,bus,Inbound
2026-03-17 10:52:22,5497,car,Inbound
2026-03-17 10:52:25,5577,car,Inbound
2026-03-17 10:52:27,5586,truck,Inbound
2026-03-17 10:52:31,5672,truck,Inbound
2026-03-17 10:52:32,5677,car,Inbound
2026-03-17 10:52:32,5679,car,Inbound
2026-03-17 10:52:33,5707,car,Inbound
2026-03-17 10:52:36,5780,car,Inbound
2026-03-17 10:52:38,5786,car,Inbound
2026-03-17 10:52:40,5800,car,Inbound
2026-03-17 10:52:40,5787,truck,Inbound
2026-03-17 10:52:44,5825,car,Inbound
2026-03-17 10:52:53,5898,car,Inbound
2026-03-17 10:52:56,5938,car,Inbound
2026-03-17 10:52:58,5962,truck,Inbound
2026-03-17 10:53:00,6033,truck,Inbound
2026-03-17 10:53:01,6021,car,Inbound
2026-03-17 10:53:04,6046,car,Inbound
2026-03-17 10:53:04,6032,car,Inbound
2026-03-17 10:53:05,6102,car,Inbound
2026-03-17 10:53:08,6109,car,Inbound
2026-03-17 10:53:08,6063,car,Inbound
2026-03-17 10:53:10,6107,car,Inbound
2026-03-17 10:53:10,6137,car,Inbound
2026-03-17 10:53:12,6158,car,Inbound
2026-03-17 10:53:15,6149,car,Inbound
2026-03-17 10:53:16,6245,car,Inbound
2026-03-17 10:53:16,6230,car,Inbound
2026-03-17 10:53:18,6208,car,Inbound
2026-03-17 10:53:19,6237,car,Inbound
2026-03-17 10:53:20,6275,car,Inbound
2026-03-17 10:53:22,6366,car,Inbound
2026-03-17 10:53:24,6328,car,Inbound
2026-03-17 10:53:25,6279,car,Inbound
2026-03-17 10:53:26,6447,car,Inbound
2026-03-17 10:53:27,6362,car,Inbound
2026-03-17 10:53:28,6464,car,Inbound
2026-03-17 10:53:29,6423,car,Inbound
2026-03-17 10:53:30,6501,car,Inbound
2026-03-17 10:53:32,6475,car,Inbound
2026-03-17 10:53:32,6526,car,Inbound
2026-03-17 10:53:34,6524,car,Inbound
2026-03-17 10:53:34,6549,car,Inbound
2026-03-17 10:53:36,6552,car,Inbound
2026-03-17 10:53:36,6630,car,Inbound
2026-03-17 10:53:37,6700,motorcycle,Inbound
2026-03-17 10:53:38,6659,car,Inbound
2026-03-17 10:53:39,6614,car,Inbound
2026-03-17 10:53:41,6701,car,Inbound
2026-03-17 10:53:41,6603,car,Inbound
2026-03-17 10:53:43,6703,car,Inbound
2026-03-17 10:53:43,6746,car,Inbound
2026-03-17 10:53:47,6764,car,Inbound
2026-03-17 10:53:48,6780,car,Inbound
2026-03-17 10:53:50,6814,car,Inbound
2026-03-17 10:53:53,6826,car,Inbound
2026-03-17 10:54:01,6867,car,Inbound
2026-03-17 10:54:02,7014,motorcycle,Inbound
2026-03-17 10:54:04,6978,car,Inbound
2026-03-17 10:54:04,7038,truck,Inbound
2026-03-17 10:54:07,6925,truck,Inbound
2026-03-17 10:54:09,7090,truck,Inbound
2026-03-17 10:54:12,7070,car,Inbound
2026-03-17 10:54:20,7148,car,Inbound
2026-03-17 10:54:21,7177,car,Inbound
2026-03-17 10:54:21,7348,motorcycle,Inbound
2026-03-17 10:54:23,7249,car,Inbound
2026-03-17 10:54:23,7237,car,Inbound
2026-03-17 10:54:23,7423,truck,Inbound
2026-03-17 10:54:24,7273,car,Inbound
2026-03-17 10:54:25,7342,car,Inbound
2026-03-17 10:54:25,7389,car,Inbound
2026-03-17 10:54:26,7430,car,Inbound
2026-03-17 10:54:27,7457,car,Inbound
2026-03-17 10:54:27,7442,car,Inbound
2026-03-17 10:54:28,7572,car,Inbound
2026-03-17 10:54:29,7561,car,Inbound
2026-03-17 10:54:30,7537,car,Inbound
2026-03-17 10:54:31,7578,car,Inbound
2026-03-17 10:54:32,7612,car,Inbound
2026-03-17 10:54:32,7583,car,Inbound
2026-03-17 10:54:33,7616,car,Inbound
2026-03-17 10:54:34,7637,car,Inbound
2026-03-17 10:54:35,7700,car,Inbound
2026-03-17 10:54:35,7674,car,Inbound
2026-03-17 10:54:35,7721,car,Inbound
2026-03-17 10:54:37,7754,car,Inbound
2026-03-17 10:54:37,7776,car,Inbound
2026-03-17 10:54:38,7751,car,Inbound
2026-03-17 10:54:38,7799,car,Inbound
2026-03-17 10:54:40,7817,car,Inbound
2026-03-17 10:54:40,7822,car,Inbound
2026-03-17 10:54:40,7813,car,Inbound
2026-03-17 10:54:43,7902,car,Inbound
2026-03-17 10:54:45,7965,car,Inbound
2026-03-17 10:54:45,7976,car,Inbound
2026-03-17 10:54:48,8035,car,Inbound
2026-03-17 10:54:48,8015,car,Inbound
2026-03-17 10:54:51,8139,car,Inbound
2026-03-17 10:54:52,8089,bus,Inbound
2026-03-17 10:54:53,8086,car,Inbound
2026-03-17 10:54:54,8209,motorcycle,Inbound
2026-03-17 10:54:54,8169,car,Inbound
2026-03-17 10:54:57,8279,bus,Inbound
2026-03-17 10:54:58,8290,truck,Inbound
